ResponseId,What is your age range?,What is your gender?,"What is your approximate total household investable assets? (includes checking, savings, or money market accounts and investments – excludes your primary residence and employer-sponsored retirement accounts)",Which of the following best describes your level of comfort using technology?,What is your usual method for contacting a company? - Selected Choice,What is your usual method for contacting a company? - Other - Text,"How often do you call companies for customer service (ie support, issue, order)?",Why do you typically call customer service or a company phone number? - Selected Choice,Why do you typically call customer service or a company phone number? - Other - Text,"When you call a company, do you prefer to speak to a live agent or use an voice assistant?",How would you rate your overall experience with virtual assistants when calling a company or customer service line?,"In the past, when speaking with virtual assistant for a company, did the virtual assistant accurately understand and address your needs or concerns?",How easy or difficult do you find it to communicate with a virtual assistant when calling a company?,Can you please explain what parts of the experience make it difficult?,Can you please explain what parts of the experience make it easy?,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Clarity of instructions,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ease of navigation,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Speed of response,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Accuracy of information,Please rank the following factors in order of importance to your overall experience with an automated phone system: (drag and drop) - Ability to reach a live agent,How comfortable are you with virtual assistants that capture your information?,Can you please explain what makes you feel that way?,At what point during the conversation with the voice assistant would you prefer to speak to a live agent?,How would you rate your comfort level with an automated system handling the following tasks? - Password reset,How would you rate your comfort level with an automated system handling the following tasks? - Real-time account balance,"How would you rate your comfort level with an automated system handling the following tasks? - Account information (Direct deposit setup, routing information)",How would you rate your comfort level with an automated system handling the following tasks? - Recently cleared checks,How would you rate your comfort level with an automated system handling the following tasks? - Physical Check reorder,How would you rate your comfort level with an automated system handling the following tasks? - Stop payment on a check,How would you rate your comfort level with an automated system handling the following tasks? - Withdrawal activity,How would you rate your comfort level with an automated system handling the following tasks? - Deposit activity,How would you rate your comfort level with an automated system handling the following tasks? - Credit card payment,"How would you rate your comfort level with an automated system handling the following tasks? - Rate & Yields (Dividend interest payments, fund yield etc)",How would you rate your comfort level with an automated system handling the following tasks? - Product features and benefits,How would you rate your comfort level with an automated system handling the following tasks? - Mortgage Inquiry,"Imagine that you need to reset your password.
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your password is reset).

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need to check your account balance. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie you are told your account balance). 

Ideally, how do you envision this interaction playing out with an voice assistant?","Imagine that you need assistance navigating the company's home page. 
Assuming that whether you use the voice assistant or a human agent, you get your desired outcome (ie your questions or concerns about the home page are answered). 

Ideally, how do you envision this interaction playing out with an voice assistant?"
R_3Mzf4J9OGLhPDFl,35-44,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a month,To get help with a technical issue or difficulty,,Always prefer a live agent,Good,Yes,Extremely easy,,"They Can Speak Multiple Languages. 2) They are Easy to Use with GPS Tracker Software. 3) They Provide Instant Access to Information. 4) Easy to Manage Timesheet with Voice Assistant. 5) We can Use Them Anywhere, Anytime.",4,1,2,5,3,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,"With the voice assistant, be faster and more accurate","With the voice assistant, checking the balance is faster and more specific","With the voice assistant, browsing is easier and faster"
R_1IT8myzUbksw18m,35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a year,To make a complaint or give feedback about a product or service,,Always prefer a live agent,Good,Kind of,Somewhat easy,,It was easy and quick too,2,3,4,1,5,Somewhat comfortable,,After trying the automated system once,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,We talk about it,Id report it ,I'll infprm the customer service 
R_23fXENNTBFHb8dT,25-34,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Terrible,No,Extremely difficult,Could not get an answer ,,1,4,2,5,3,Extremely uncomfortable,Don’t like talking to a virtual person ,Immediately,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Don’t like voice assistant ,Not secure ,Don’t like giving my information out
R_12swACD862z9eXC,35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,But I have a feeling the whole world is gonna end soon because ,1,3,5,4,2,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,The first time you were able and I didn't have ,So you don't want me in the car right ,You are so sweet to be there with us I really love 
R_22LfmcdzvpvYDp7,35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Social media messaging,,Daily,To ask a question about a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,, How to Answer Interview Questions About Your Experience,3,4,5,1,2,Extremely comfortable,,After multiple attempts with the automated system,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Great and amazing ,It’s amazing brand ,Because of the quality brand 
R_9TyMAZqGbePUbVn,45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,Providing an outstanding customer service ,4,5,3,2,1,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Not sure ,Not sure ,Not sure 
R_3CK1LZobdxKxLfr,35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Average,Yes,Somewhat easy,,All get it fixed or provide much inquiries ,2,3,1,5,4,Somewhat comfortable,,After multiple attempts with the automated system,Not Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,All good provided it’s been fixed ,All good,Feel better 
R_1GKrkbn4vENvjXo,45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Kind of,Somewhat easy,,"About how simple it is to get service with most companies, not including some other cell phone company stock that I don’t admire with others",4,2,1,5,3,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Not Comfortable,Neutral,Comfortable,Not Comfortable,Comfortable,"They would they would ask me what you did that you forgot your password, and and and what you can do to fix it.","The voice, assistant, what what would as well as your credit card number which I’ll be very hesitant to do.",You’re active voice to say agent to go to the place that you wanted to go to and it should be able to take you there like how an A.I does.
R_Z96kpQhqUdV70w9,65,Male,"$1,000,000 - $5,000,000",Neutral,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Somewhat difficult,They don't always understand what I'm asking,,3,4,5,2,1,Neutral,,Immediately,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Hopefully the same way it would with a human,Same as with a human,I think I would need to get transferred to a person
R_xAyVHtwuGEwy2cx,55-65,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Somewhat difficult,Often have to phrase things two or three different ways to be understood. Often ends up being transferred to a live agent anyway,,4,5,2,1,3,Neutral,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Neutral,There would need to be some form of MFA and security question validation. I would expect multiple layers of authentication,Simple authentication should suffice as it’s not transactional,High degree of speech comprehension as the query will likely be ambiguous.
R_1hGCHZ7DMygZ67W,45-54,Female,"$1,000,000 - $5,000,000",Extremely comfortable,In person visit,,A few times a year,To ask a question about a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Somewhat easy,,only make a  question and the AI response,2,4,3,1,5,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,I want replace my password,show my account balance,take me to the principal page
R_1lnv5szncay5gel,45-54,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a year,Other,"They don't offer chat, or chat tells me I need to call in",Always prefer a live agent,Terrible,No,Somewhat difficult,"If I can't do it online, it's useally too complicated for the assistant to understand either",,5,2,3,4,1,Somewhat uncomfortable,Why do they need to capture it? No improvement are being made in there years I have called to same one,After trying the automated system once,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,"Quickly, I verify some information, some times they sent me a text and done","I don't want to use a voice assistant. It should all be automated online. If they are wasting money on making an assistant for something that simple first, I should be doing business with them.","Not well, if I'm calling looking for help to navigate their home page, it's not obvious and they are going to go over all the common items first "
R_3stTmnIuF04iWcF,35-44,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Good,Kind of,Somewhat difficult,they don't understand the nature of the problem,,2,3,5,4,1,Somewhat uncomfortable,I would rather talk to a human being,After trying the automated system once,Neutral,Comfortable,Comfortable,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,they send me a link to reset,the agent speaks the balance ,transfer to an agent
R_eqv5HsW7JfkrwYN,35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To place an order or make a purchase,,Always prefer a live agent,Delightful,Kind of,Somewhat difficult,Delay in answers to questions ,,2,1,3,4,5,Somewhat comfortable,,After multiple attempts with the automated system,Neutral,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Listen continuously ,Listen continuously ,Listen continuously 
R_W8bUetlMqXcZk0V,65,Female,"$5,000,000 - $10,000,000",Extremely comfortable,Online Chat,,A few times a year,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Average,Kind of,Somewhat difficult,Usually need to speak to a live person after answering all of the automated questions ,,3,4,5,1,2,Neutral,,Only if the automated system cannot help me,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Neutral,I ask for a link to be sent to me so I can reset the password myself ,I would need to key in my account number,Can’t see how this would work with an assistant 
R_2SpL06Tirr6vrUB,65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,They don’t understand some of the commands or codes when troubleshooting. They work ok for simple commands like bill totals and such,,1,4,5,2,3,Neutral,,After trying the automated system once,Comfortable,Comfortable,Not Comfortable,Comfortable,Neutral,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,I tell them I need a new password and they send to a verified phone,Why call I do this on my mobile app,Ask where is the desired area I want and they highlight it
R_1r36fryWZ3Px77Y,35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,In person visit,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,No,Somewhat easy,,Lots of people in the morning love you more than that I called the man,2,5,4,3,1,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,By pressing the password and applying a new one to it,The girl I won take know if you need anything let me know if you need,The girl in the morning and I think I can get it to you too enter the best
R_3PI8FJdfclUuApJ,35-44,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To place an order or make a purchase,,Always prefer a live agent,Good,Kind of,Somewhat easy,,All is easy for me overall I would have to say.,2,4,3,1,5,Somewhat comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Good looks with the way voice assistant has made things easier for me over time.,All is great that I can think of at the moment.,Good looks for me overall really.
R_3fiYpYWqsX3KKsW,25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,Thr speed of response,3,5,1,2,4,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,"I deem it to be straight forward, the voice assistant asks for my old one and then the new one and then instructs me to confirm the new one ","I think the voice assistant will ask for your account number ans your login password, when you request for your balance.",I expect the voice assistant to give  steps on what to do as I navigate through the website.
R_2QA0yB2MJQjmFYy,25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Online Chat,,A few times a month,To place an order or make a purchase,,Always prefer a live agent,Good,Yes,Extremely easy,,Awesome ,2,3,4,5,1,Extremely comfortable,,Immediately,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,And yea we will have a ,And yea we will ,The good luck on 
R_2wpnknd0lXMWf3J,55-65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Online Chat,,A few times a year,Other,If chat is not available. ,Always prefer a live agent,Poor,Kind of,Somewhat difficult,"Recently, I couldn't get assistance because none of the phone or online options were relevant. ",,3,4,5,2,1,Somewhat comfortable,,Immediately,Neutral,Neutral,Comfortable,Neutral,Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,It would be the same with a voice or human assistant. ,The same as the human assistant.,The same as the human assistant. 
R_3niTwxPbdIgSzny,45-54,Female,"$10,000,000.00",Neutral,Phone,,A few times a month,To ask a question about a product or service,,Always prefer a live agent,Good,Kind of,Somewhat difficult,They dont speak  English ,,1,5,4,2,3,Somewhat uncomfortable,They dont understood  me I dont understand  them ,After trying the automated system once,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,I dont understand  them 99% of the time,I rather  not do this over the phone  I would go to the bank ,No to good 
R_Aui1c0lvLLD60Rb,35-44,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Extremely easy,,The first time you have a chance at the top is the second one you get a free pass and you can go on your way back and then ,1,4,2,5,3,Somewhat comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Not Comfortable,Comfortable,Neutral,Not Comfortable,To reset my password to the computer I need a new one to get in my computer so I’m not sure what it will do it ,To check my balance I will be there at five so if I can do that then I’ll just go to my bank account to get the check from the other account that way,The only thing I can say about that I am a fan is the lack that the show was so great to have a great 
R_1QgzNlLUPnhIHM5,35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Good,Kind of,Extremely easy,,Contacting part,1,4,2,5,3,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Comfortable,Neutral,Neutral,It will be great ,It will be good ,It will be good 
R_1n0aEZJGEtUPmC4,65,Male,"$5,000,000 - $10,000,000",Extremely comfortable,Phone,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,I ask direct question and do not get a direct answer or resolution,,4,3,2,5,1,Neutral,,Only if the automated system cannot help me,Comfortable,Not Comfortable,Not Comfortable,Neutral,Comfortable,Not Comfortable,Neutral,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,"ask for reset, get menu to request reset, key in old and new password, get confirmation","verify who I am, ask for account balance, gat balance amount.","allow voice response, search, or allow me to ask specifically what I want."
R_1H1fdPADS4rZ5jZ,65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Terrible,No,Somewhat difficult,"Lack of flexibility, I personally would not be calling if I did not have a specific issue.",,5,3,2,4,1,Neutral,,Immediately,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,"On the part of the ""assistant"", repeated request for irrelevant information.  On my side repeated requests to speak to a representative.","This would never happen.  I would know balance, or check a website.","Again, never happen, I would go to site link for technical problems."
R_Ox6FpPFG8wXFtvz,25-34,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Prefer a live agent but may speak to an voice assistant,Good,Yes,Extremely easy,,The way the customer care treat me is a good approach and I’m sure it is still okay with it and I don’t need it lol but I’m not going back tomorrow lol but I don’t want to ,2,1,5,4,3,Somewhat comfortable,,Immediately,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,It’s actually easy for the system code to be activated and it doesn’t help for your help for your phone code code lol but I’m on it for delivery ,Causing a problem for me a few weeks back to help help me out for a week and I don’t have church phone number lol lol I don’t want to get it to you lol ,Many times going for save time lol but I’m still not going to the back of the car seat and I’m not getting ready for your call back 
R_1JVBIhtSCvFUpxv,65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,very tired of the phrase 'I didn't get that.  Let's try again',,3,4,5,2,1,Somewhat uncomfortable,if they can't understand my questions how can they record information correctly,Immediately,Neutral,Neutral,Neutral,Neutral,Neutral,Not Comfortable,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,poorly.  It would probably direct me to something I have no desire to experience,wouldn't even try - I want to see the results via direct inquiry,"this would not end well - if you don't know what you want, you'll never get there"
R_2TNrz8uBj73OxcG,45-54,Female,"$10,000,000.00",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,How are you and ,1,2,4,5,3,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,How ,Hope ,Keep 
R_3kyVJG766ZwbAZ3,35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To place an order or make a purchase,,Always prefer a live agent,Delightful,Yes,Extremely easy,,I am the one for you to that you can recognize if someone is in the ,1,2,5,4,3,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,I am the one for you to that you can recognize if someone is in the hospital and needs to ,Assalamun Alaykum warahmatullah wabarakaatuh in the hospital and needs to do some scanning ,Olryt thanks sir for your quality advert at affordable price here 
R_vo9mmNyThNOgOyZ,65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To ask a question about a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,5,3,4,2,1,Neutral,,Only if the automated system cannot help me,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,easy to do by following prompts,should be easy and straight forward,sometimes answers with a voice assistant goes in circles
R_2fsbGkeHifGlKkV,45-54,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,The problem addressing part,4,5,2,1,3,Somewhat comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Nice work ,Rate the performance on 100,Rate the performance 
R_2w6wValFSZkCIu1,65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Social media messaging,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,Kind of,Somewhat difficult,Need to repeat what you’re saying alot,,5,4,2,3,1,Somewhat comfortable,,Immediately,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Comfortable,Comfortable,Instructed me how to reset password and making sure it works while holding on,States my account balance after going through a series of steps ,They are typing away the response 
R_1jpm97e2nSqGLeu,25-34,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Average,Kind of,Neutral,,,5,4,3,1,2,Somewhat comfortable,,After multiple attempts with the automated system,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,Comfortable,Neutral,Comfortable,Not Comfortable,I tell the assistant the password and it asks for my confirmation twice. ,I ask for balance and it tells me,I ask where to go for X and it tells me
R_1ikazxWB6efKB28,35-44,Female,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,The virtual assistant has limited knowledge so it often cannot address many questions. It also regularly misunderstands words.,,4,3,5,2,1,Somewhat comfortable,,After trying the automated system once,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,The voice assistant would verbally confirm the new password after I enter it. It would also email me a confirmation of the passeord reset.,I ask for my account balance and the assistant reads it. ,I ask where to find something on the homepage. The assistant gives me step by step instructions for how to locate it. 
R_3M3QNETurxxiP31,35-44,Female,"$10,000,000.00",Extremely comfortable,Email,,A few times a month,To place an order or make a purchase,,Prefer a voice assistant but may speak to a live agent,Delightful,Yes,Extremely easy,,Easy to assess,3,1,2,4,5,Extremely comfortable,,After trying the automated system once,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Via good communication ,Chitchatting ,In all manners
R_d6J03vcN0VJgBhv,35-44,Male,"$10,000,000.00",Extremely comfortable,Email,,Daily,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,Dove is fast food service service customer quality products products and products service service quality service service customer customer products products and quality products service service quality service service customer customer products products and products service service quality service service products quality quality products quality customer quality service providers and quality quality service products service service products and products quality service providers and quality quality food products service service products products and quality quality service service products service quality service providers and quality quality products service service products quality quality products service providers and quality quality service service products quality quality products service providers and quality service quality food products service providers and quality quality products service service ,2,4,1,5,3,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Okay I will be home by then but I can get a little more time and then I don’t know what to get my home from the day before the next week and so I’m just getting back in service for you too much for the holidays and enjoy quality service products for food quality service providers and quality products are great quality service service providers and quality products products are great service products quality service providers and quality quality food products service service products products and quality quality service service products service quality ,Dove and quality service providers are friendly quality quality products service service products service customer customer products service quality quality food products service providers and quality quality service quality food products service providers and quality quality products service service products quality service providers and quality quality products service products and service products service quality service providers and quality quality products service products and service service quality quality products service products and products service service quality service providers and quality quality products service products and service service quality quality products service ,Okay I don’t have to be there for you all good morning and love and enjoy life love love it and I enjoy the day I enjoy it and I hope everything goes good thanks for your help love and you have fun and I enjoy it so beautiful and I hope you have to be good for you and love and you have to be safe and safe with me love and 
R_ZKahEk7najofrTr,25-34,Male,"$1,000,000 - $5,000,000",Extremely comfortable,Email,,Daily,To ask a question about a product or service,,Always prefer a live agent,Delightful,Yes,Extremely easy,,It is very amazing and unique,3,2,5,1,4,Extremely comfortable,,Only if the automated system cannot help me,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Comfortable,It is very nice,I really like it,I really like it
R_12A8xWM4LxX3kIs,35-44,Male,"$1,000,000 - $5,000,000",Extremely uncomfortable,Phone,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Extremely easy,,The are always available and answer every question ,4,2,1,5,3,Extremely comfortable,,Immediately,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Accurate and precise ,Comfortable ,Fast
R_2uWKbeKucOqyB8d,35-44,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a month,To resolve an issue with a product or service,,Always prefer a live agent,Good,Yes,Somewhat easy,,The experience was good,5,3,1,2,4,Somewhat uncomfortable,Full of unnecessary stress ,After trying the automated system once,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Neutral,Comfortable,Comfortable,Follow the instructions ,Cool about it,Cool About it
R_2dAVNgq2wLYLVJq,55-65,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Email,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Somewhat difficult,They don’t understand what you want or they just repeat the same thing. ,,3,4,5,2,1,Somewhat comfortable,,After trying the automated system once,Neutral,Neutral,Neutral,Neutral,Comfortable,Neutral,Not Comfortable,Neutral,Not Comfortable,Not Comfortable,Neutral,Neutral,"As long as it can be done, I’m okay with it. ",That they would be able to give it to me. ,I don’t think they could give me the answer 
R_3fVtGC6VNGIn4Pg,65,Male,"$1,000,000 - $5,000,000",Somewhat uncomfortable,In person visit,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,No,Extremely difficult,"It does not give enough options to express your problem and when you try to explain it, the system does not understand ",,3,2,5,4,1,Neutral,,After trying the automated system once,Not Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Not Comfortable,Not Comfortable,Not Comfortable,Comfortable,Not Comfortable,Not Comfortable,Comfortable,I don’t see a problem with it ,I have no problem getting accounts balance ,That would be alright 
R_1hGCUuCUwvWJLoS,65,Male,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,did not understand what I was asking,,1,5,3,4,2,Neutral,,After trying the automated system once,Not Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Not Comfortable,Not Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,getting it done but taking a lot longer to do it,very good,good most of the time
R_2V4KeY34YaPpzi2,65,Female,"$1,000,000 - $5,000,000",Somewhat uncomfortable,Email,,A few times a year,To get help with a technical issue or difficulty,,Always prefer a live agent,Average,Yes,Somewhat easy,,get more direct answers,4,5,2,1,3,Somewhat comfortable,,After trying the automated system once,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,very well and quick,speedy and accurate,"maybe will work but maybe not, more complicated"
R_24oV58BZeTGdSvC,45-54,Female,"$1,000,000 - $5,000,000",Somewhat comfortable,Phone,,A few times a year,To resolve an issue with a product or service,,Always prefer a live agent,Poor,Kind of,Somewhat difficult,it does noy always understand what I am asking,,3,4,5,2,1,Somewhat uncomfortable,i don't know why they need to know,Immediately,Not Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,it would verify my info then ask me to enter a new password and confirm it,"i ask, it tells",i ask for a department and am connected
